indicator	malware
#3268:4	#4323:0
#3271:916	#4279:1
#3270:1168	#4274:0
#3261:2997	#4294:0
#3296:2494	#4292:1
#3284:2414	#4264:1
#3295:87	#4571:0
#3270:2079	#4549:0
#3271:2327	#4258:0
#3289:1749	#4265:0
#3288:2500	#4259:0
#3286:2078	#4309:0
#3262:500	#4341:0
#3277:1750	#4341:0
#3286:3247	#4279:1
#3289:2742	#4486:0
#3264:586	#4264:1
#3269:1912	#4262:1
#3294:1668	#4286:1
#3289:1165	#4356:0
#3290:1165	#4274:1
#3269:755	#4579:0
#3266:1913	#4264:1
#3270:1164	#4265:0
#3281:2416	#4279:1
#3288:1251	#4579:0
#3267:755	#4367:0
#3261:1666	#4260:1
#3283:584	#4274:1
#3273:1914	#4579:0
#3298:1087	#4310:0
#3261:1914	#4265:0
#3259:420	#4299:0
#3279:1086	#4486:0
#3290:666	#4268:0
#3268:589	#4283:1
#3288:252	#4474:0
#3260:1749	#4279:1
#3275:2583	#4277:1
#3265:2666	#4486:0
#3285:2832	#4348:0
#3274:2747	#4263:0
#3273:1002	#4259:2
#3297:2825	#4265:0
#3276:1085	#4265:1
#3267:1003	#4263:1
#3272:2334	#4259:2
#3290:2082	#4268:0
#3270:1413	#4275:0
#3295:1499	#4356:0
#3285:2166	#4265:0
#3260:2079	#4265:0
#3266:2250	#4279:1
#3261:256	#4259:0
#3283:505	#4259:1
#3297:838	#4342:0
#3296:2912	#4264:0
#3285:2913	#4283:1
#3272:1003	#4341:1
#3274:1912	#4271:1
#3283:1835	#4282:1
#3284:2079	#4389:0
#3288:1500	#4343:0
#3293:1083	#4264:1
#3273:3164	#4344:1
#3298:1001	#4551:0
#3291:836	#4342:0
#3269:2749	#4340:1
#3265:1581	#4283:1
#3263:2250	#4273:0
#3280:1248	#4258:0
#3262:3243	#4265:0
#3262:1087	#4288:1
#3293:334	#4540:0
#3282:3076	#4274:1
#3285:1912	#4460:0
#3265:3244	#4579:0
#3264:171	#4485:0
#3290:917	#4386:0
#3271:2495	#4276:0
#3298:915	#4354:0
#3259:3079	#4265:0
#3275:1086	#4271:0
#3291:332	#4269:0
#3271:1496	#4307:0
#3260:587	#4274:1
#3272:3162	#4272:0
#3260:1248	#4282:1
#3294:2333	#4339:1
#3283:831	#4579:0
#3292:1503	#4282:0
#3263:1088	#4259:2
#3267:833	#4259:1
#3293:3077	#4540:0
#3297:420	#4265:0
#3286:1996	#4316:0
#3288:3160	#4265:0
#3286:582	#4264:1
#3295:833	#4272:1
#3287:2499	#4383:0
#3289:1336	#4305:0
#3288:2414	#4458:1
#3274:252	#4269:0
#3287:2911	#4284:1
#3273:1750	#4486:0
#3284:1330	#4287:0
#3265:756	#4346:1
#3260:2663	#4367:0
#3288:3081	#4377:0
#3286:2085	#4259:2
#3275:2415	#4272:1
#3259:256	#4264:0
#3283:505	#4348:1
#3291:336	#4282:1
#3271:1503	#4367:0
#3291:2744	#4297:1
#3280:1918	#4307:0
#3275:2164	#4265:0
#3263:3241	#4271:0
#3293:1	#4367:0
#3265:2332	#4467:0
#3285:3	#4277:1
#3294:3161	#4264:1
#3280:1996	#4316:0
#3276:2251	#4323:0
#3281:1415	#4393:0
#3298:420	#4489:0
#3291:2997	#4299:0
#3286:1004	#4272:1
#3292:2165	#4341:1
#3297:1334	#4265:0
#3263:2494	#4392:0
#3292:251	#4275:1
#3266:835	#4269:0
#3294:998	#4338:0
#3295:1331	#4272:1
#3272:5	#4277:1
#3287:1664	#4279:0
#3265:1669	#4344:1
#3264:502	#4270:0
#3273:85	#4282:0
#3280:254	#4259:1
#3266:3080	#4469:1
#3279:1667	#4265:0
#3271:87	#4341:1
#3292:0	#4261:2
#3279:500	#4282:0
#3273:1669	#4287:0
#3283:90	#4269:0
#3263:3162	#4346:1
#3295:2998	#4274:0
#3283:749	#4278:0
#3277:2659	#4322:0
#3293:2998	#4362:0
#3285:2001	#4265:0
#3283:2417	#4264:1
#3279:668	#4343:0
#3283:335	#4264:0
#3281:1751	#4279:1
#3297:1828	#4265:0
#3286:3242	#4339:1
#3285:250	#4354:0
#3262:2994	#4579:0
#3283:1334	#4370:0
#3281:2911	#4264:1
#3275:3077	#4287:0
#3274:1586	#4479:0
#3273:2664	#4461:1
#3263:2914	#4258:0
#3269:1499	#4467:0
#3284:1252	#4345:0
#3273:2664	#4289:1
#3280:1579	#4348:0
#3261:3241	#4579:0
#3276:2417	#4265:0
#3286:6	#4264:0
#3278:2081	#4259:0
#3271:2662	#4322:0
#3274:166	#4370:0
#3278:2909	#4270:0
#3292:253	#4341:1
#3298:2748	#4342:0
#3280:2915	#4458:0
#3293:2334	#4579:0
#3264:251	#4568:0
#3296:1248	#4265:1
#3275:3246	#4283:0
#3274:337	#4284:1
#3267:2827	#4305:0
#3298:1247	#4265:0
#3284:2827	#4265:0
#3281:2742	#4279:1
#3274:2500	#4276:1
#3260:1913	#4283:0
#3270:667	#4347:1
#3293:916	#4258:0
#3265:2167	#4284:1
#3292:997	#4265:1
#3265:86	#4540:0
#3286:3246	#4263:0
#3280:1087	#4259:0
#3297:1579	#4258:0
#3295:1831	#4338:1
#3284:501	#4363:0
#3264:3248	#4265:0
#3270:755	#4272:1
#3277:1170	#4339:1
#3265:3165	#4287:0
#3291:2163	#4279:0
#3261:2330	#4378:0
#3296:585	#4466:0
#3260:588	#4262:1
#3273:419	#4377:0
#3277:1333	#4461:1
#3272:1086	#4259:0
#3289:916	#4271:0
#3276:2330	#4265:0
#3285:2328	#4283:1
#3275:89	#4279:0
#3283:506	#4287:0
#3289:2826	#4538:0
#3281:335	#4292:1
#3279:670	#4459:0
#3281:752	#4579:0
#3273:338	#4259:2
#3280:2495	#4284:1
#3298:2498	#4259:2
#3278:1751	#4350:0
#3276:1420	#4260:1
#3290:3	#4264:0
#3278:587	#4292:0
#3287:1499	#4274:0
#3296:255	#4265:0
#3296:1080	#4284:1
#3292:2829	#4467:0
#3296:2830	#4460:1
#3287:2748	#4367:0
#3259:670	#4283:0
#3290:837	#4258:0
#3275:666	#4419:0
#3262:2581	#4266:1
#3296:2991	#4489:0
#3285:1414	#4292:1
#3270:2661	#4284:1
#3297:1087	#4472:0
#3284:3160	#4269:0
