course_of_action	attack_pattern
#3662:25	#3194:6
#3659:9	#3191:2
#3658:182	#3191:2
#3661:210	#3205:12
#249:42	#187:10
#256:80	#178:10
#279:31	#173:13
#274:95	#181:10
#271:72	#182:15
#3660:78	#3205:12
#3659:7	#3191:2
#3661:170	#3191:2
#281:77	#196:3
#3661:125	#3200:9
#272:26	#204:10
#3658:201	#3191:2
#268:93	#202:3
#275:3	#201:0
#3658:111	#3191:2
#284:83	#204:7
#279:32	#172:6
#262:20	#200:2
#3662:93	#3193:2
#3661:164	#3191:2
#286:71	#174:7
#3660:151	#3193:2
#272:13	#208:4
#249:86	#208:1
#279:35	#202:3
#284:51	#190:6
#249:32	#172:6
#3660:94	#3204:1
#271:72	#188:15
#3661:219	#3191:2
#3661:171	#3191:2
#3662:110	#3194:6
#254:48	#203:3
#272:26	#190:13
#277:43	#190:13
#3658:42	#3191:2
#284:83	#198:14
#264:12	#177:7
#3660:103	#3193:2
#274:78	#186:8
#3660:182	#3193:2
#257:25	#207:4
#257:46	#196:15
#272:11	#206:1
#285:3	#198:0
#3658:7	#3204:1
#262:20	#201:12
#3697:112	#3205:12
#3659:29	#3206:8
#3659:121	#3205:12
#3661:218	#3204:1
#279:31	#173:2
#278:99	#198:5
#269:56	#195:5
#256:80	#178:11
#3660:35	#3216:2
#3659:215	#3204:1
#3661:23	#3193:2
#256:80	#202:15
#3661:90	#3194:6
#272:15	#196:13
#3662:11	#3191:2
#3660:127	#3193:2
#279:67	#204:3
#3667:103	#3187:0
#262:48	#204:7
#3659:164	#3193:2
#278:99	#180:4
#3661:27	#3191:2
#254:47	#207:5
#272:23	#194:5
#274:78	#185:12
#257:43	#200:8
#279:31	#187:8
#3658:203	#3191:2
#249:34	#203:3
#279:26	#185:6
#254:50	#182:15
#3660:55	#3191:2
#3685:156	#3193:2
#274:78	#203:0
#262:16	#205:13
#279:4	#187:7
#3658:75	#3205:12
#282:12	#190:2
#3658:160	#3205:12
#266:47	#173:4
#3659:195	#3191:2
#287:9	#188:4
#257:34	#187:0
