report	indicator
#2945:1	#3286:3000
#2957:11	#3393:130
#2946:29	#3265:668
#2958:22	#3393:3
#2936:12	#3394:488
#2945:8	#3405:216
#2956:14	#3295:676
#2945:25	#3268:2327
#2956:23	#3280:2006
#2936:21	#3408:181
#2932:27	#3268:2829
#2931:23	#3402:6
#2959:26	#3275:428
#2931:24	#3269:1585
#2954:7	#3391:432
#2937:26	#3357:457
#2930:8	#3403:59
#2940:22	#3273:2078
#2959:7	#3402:131
#2944:3	#3415:131
#2961:15	#3360:755
#2944:16	#3402:220
#2962:7	#3289:2122
#2938:2	#3296:1103
#2949:5	#3277:172
#2936:21	#3398:525
#2934:11	#3259:839
#2949:5	#3289:2331
#2942:9	#3393:210
#2938:6	#3260:2250
#2952:13	#3413:277
#2943:12	#3268:2328
#2957:9	#3259:1332
#2944:3	#3392:132
#2942:9	#3391:95
#2941:22	#3375:914
#2948:14	#3385:390
#2934:24	#3261:2084
#2949:25	#3278:936
#2950:0	#3288:3254
#2948:21	#3226:1918
#2957:24	#3239:2398
#2957:12	#3392:451
#2942:15	#3272:1460
#2942:28	#3339:120
#2956:19	#3328:18
#2951:10	#3416:407
#2933:18	#3370:923
#2949:23	#3285:1662
#2940:13	#3284:1338
#2961:30	#3259:1584
#2935:11	#3273:1667
#2953:14	#3288:1835
#2948:14	#3403:331
#2952:19	#3361:1494
#2958:5	#3277:2009
#2949:1	#3389:329
#2943:22	#3388:288
#2930:21	#3265:1248
#2941:27	#3286:1010
#2954:27	#3282:1502
#2948:3	#3284:748
#2937:8	#3262:334
#2956:3	#3296:595
#2954:23	#3247:2332
#2947:8	#3269:2108
#2933:26	#3229:901
#2949:0	#3482:269
#2938:6	#3298:2661
#2960:16	#3279:1711
#2936:28	#3284:1
#2949:1	#3382:458
#2959:1	#3261:584
#2937:2	#3298:758
#2948:22	#3251:1036
#2950:7	#3303:5
#2941:14	#3225:623
#2948:7	#3247:2266
#2944:1	#3274:1467
#2932:15	#3291:1766
#2944:6	#3277:2140
#2944:23	#3259:3080
#2959:1	#3398:435
#2940:13	#3282:181
#2949:11	#3238:73
#2946:22	#3286:1924
#2942:28	#3345:359
#2942:20	#3397:432
#2930:5	#3410:212
#2937:27	#3246:1234
#2947:3	#3289:86
#2948:0	#3263:378
#2943:20	#3386:374
#2940:27	#3298:3305
#2930:22	#3250:2466
#2930:13	#3379:403
#2948:25	#3265:3000
#2947:5	#3281:2743
#2941:17	#3223:687
#2952:0	#3498:421
#2944:1	#3294:710
#2950:5	#3285:2994
#2939:9	#3238:2684
#2950:5	#3399:420
#2941:5	#3270:3241
#2945:6	#3273:1512
#2949:23	#3296:2749
#2950:7	#3322:24
#2941:4	#3298:350
#2931:5	#3462:46
#2941:28	#3459:613
#2935:19	#3298:2249
#2951:21	#3491:315
#2940:13	#3269:380
#2934:27	#3223:761
#2939:27	#3275:168
#2936:20	#3278:2497
#2954:1	#3359:616
#2948:3	#3280:3158
#2948:25	#3292:684
#2931:24	#3276:1918
#2958:2	#3418:419
#2934:0	#3223:2536
#2955:13	#3387:31
#2937:30	#3281:1006
#2943:15	#3286:639
#2933:30	#3382:75
#2951:30	#3244:2266
#2941:22	#3287:1930
#2934:30	#3289:1751
#2942:4	#3263:595
#2943:14	#3274:2749
#2930:17	#3250:139
#2949:11	#3415:76
#2957:24	#3283:1498
#2936:0	#3225:964
#2934:30	#3275:2743
#2946:26	#3263:3093
#2933:10	#3267:1833
#2936:11	#3266:2268
#2940:27	#3286:352
#2938:3	#3410:405
#2955:16	#3266:6
#2946:29	#3281:3
#2938:8	#3279:3181
#2934:3	#3353:419
#2934:11	#3388:160
#2941:17	#3414:361
#2948:0	#3281:1443
#2955:15	#3354:278
#2941:5	#3289:2001
#2939:13	#3296:2351
#2953:14	#3283:3162
#2941:9	#3342:11
#2940:15	#3387:519
#2938:5	#3244:561
#2952:29	#3287:1583
#2946:1	#3273:3264
#2946:29	#3296:2826
#2958:24	#3270:1750
#2934:9	#3364:121
#2957:23	#3260:266
#2933:26	#3396:180
#2937:30	#3284:2679
#2960:26	#3291:2112
#2952:30	#3284:88
#2936:10	#3285:90
#2933:6	#3283:940
#2943:17	#3233:2469
#2948:22	#3359:1316
#2949:12	#3278:3018
#2938:17	#3229:74
#2937:2	#3284:1684
#2955:5	#3221:2194
#2957:9	#3267:252
#2939:1	#3293:1769
#2941:1	#3221:1165
#2941:28	#3275:752
#2954:23	#3225:1031
#2955:29	#3412:373
#2947:21	#3240:2466
#2933:17	#3240:1986
#2947:23	#3229:2467
#2934:21	#3278:8
#2957:11	#3406:188
#2937:25	#3231:485
#2943:3	#3234:2191
#2934:27	#3247:1307
#2935:1	#3471:63
#2955:4	#3383:289
#2931:19	#3244:2608
#2954:30	#3269:2082
#2944:1	#3274:2434
#2932:18	#3283:2502
#2962:4	#3287:749
#2940:1	#3236:1441
#2932:27	#3290:255
#2946:23	#3380:377
#2939:13	#3280:510
#2959:26	#3284:764
#2930:19	#3251:2603
#2955:11	#3223:1378
#2943:19	#3263:1019
#2942:15	#3274:1452
#2948:21	#3226:138
#2957:9	#3264:499
#2955:4	#3385:134
#2943:19	#3289:964
#2946:1	#3285:184
#2938:3	#3237:1581
#2930:23	#3392:97
#2954:7	#3401:232
#2935:2	#3259:2247
#2932:11	#3293:1080
#2943:15	#3262:769
#2945:6	#3284:95
#2943:12	#3260:1669
#2947:21	#3244:1918
#2947:14	#3298:419
#2950:0	#3298:1125
#2940:15	#3396:446
#2946:5	#3409:1
#2943:16	#3296:2924
#2945:5	#3264:1829
#2943:19	#3260:541
#2932:7	#3495:107
#2949:20	#3248:2264
#2939:2	#3285:985
#2949:12	#3278:182
#2941:5	#3267:922
#2945:8	#3392:187
#2936:11	#3289:2673
#2955:15	#3269:2909
#2934:9	#3355:80
#2947:8	#3288:1270
#2961:2	#3285:832
#2945:5	#3261:2833
#2956:23	#3270:1006
#2956:19	#3252:2056
#2947:17	#3462:140
#2932:7	#3418:484
#2961:15	#3415:60
#2958:24	#3265:833
#2935:2	#3284:2161
#2958:4	#3219:2330
#2957:12	#3407:559
#2941:1	#3383:263
#2953:12	#3291:1277
#2948:18	#3230:417
#2946:26	#3276:689
#2948:0	#3276:600
#2935:2	#3263:2
#2947:3	#3365:636
#2945:30	#3352:1252
#2930:26	#3269:2037
#2957:14	#3264:2835
#2931:29	#3251:890
#2946:16	#3404:375
#2962:4	#3379:234
#2940:25	#3387:260
#2936:13	#3402:162
#2960:16	#3280:615
#2930:0	#3259:671
#2952:30	#3261:2248
#2933:26	#3240:1654
#2933:17	#3224:1240
#2956:3	#3289:1181
#2945:22	#3273:2269
#2959:5	#3381:250
#2930:21	#3259:0
#2946:22	#3266:1679
#2937:12	#3242:1099
#2946:22	#3263:1506
#2938:22	#3266:895
#2955:9	#3395:118
#2955:3	#3413:177
#2949:12	#3295:926
#2940:22	#3465:112
#2958:27	#3363:397
#2930:17	#3386:562
#2945:14	#3366:875
#2961:2	#3285:2084
#2947:14	#3280:334
#2954:5	#3275:2913
#2934:0	#3227:2673
#2941:9	#3418:6
#2958:6	#3293:1419
#2955:29	#3412:100
#2946:3	#3233:1580
#2955:13	#3400:89
#2941:27	#3277:982
#2945:6	#3290:2111
#2946:22	#3369:399
#2945:8	#3230:7
#2942:15	#3294:2192
#2955:3	#3259:2863
#2945:22	#3265:3166
#2952:13	#3412:534
#2952:11	#3261:1859
#2956:14	#3259:1605
#2951:28	#3295:1840
#2949:21	#3290:1833
#2958:5	#3290:2999
#2959:16	#3339:916
#2952:19	#3383:154
#2935:11	#3267:7
#2952:28	#3274:3257
#2932:27	#3285:90
#2930:22	#3239:617
#2948:21	#3225:1988
#2950:12	#3348:1312
#2938:1	#3278:2994
#2958:6	#3296:2996
#2950:20	#3414:373
#2937:27	#3238:6
#2951:21	#3495:471
#2944:18	#3276:2161
#2959:17	#3287:1832
#2942:28	#3362:239
#2948:6	#3402:422
#2944:8	#3398:15
#2937:12	#3223:346
#2937:30	#3275:2010
#2935:9	#3354:559
#2948:5	#3284:1665
#2946:3	#3258:1305
#2934:27	#3236:2469
#2944:1	#3267:3022
#2941:27	#3296:616
#2937:26	#3371:1092
#2943:22	#3296:2913
#2932:29	#3275:1262
#2932:29	#3296:1765
#2961:25	#3270:3164
#2945:22	#3281:19
#2958:2	#3230:2
#2948:0	#3285:793
#2944:23	#3260:836
#2932:0	#3230:1925
#2954:23	#3259:1748
#2947:3	#3355:1550
#2954:27	#3395:446
#2931:30	#3247:2060
#2936:28	#3383:362
#2939:17	#3258:758
#2940:22	#3471:110
#2948:3	#3269:2411
#2941:1	#3397:204
#2932:11	#3276:2085
#2931:5	#3482:579
#2956:13	#3280:921
#2953:20	#3288:839
#2932:30	#3264:2163
#2930:21	#3259:1337
#2946:17	#3292:2264
#2948:6	#3399:164
#2951:20	#3285:2416
#2943:26	#3313:9
#2952:0	#3379:228
#2930:13	#3356:159
#2956:13	#3285:3158
#2931:30	#3255:2674
#2945:16	#3265:750
#2943:14	#3289:84
#2954:1	#3411:553
#2932:21	#3359:358
#2936:11	#3264:264
#2954:27	#3276:2494
#2950:29	#3298:253
#2951:5	#3404:145
#2935:10	#3267:2583
#2930:7	#3277:2916
#2934:3	#3411:525
#2932:21	#3359:636
#2945:22	#3418:362
#2939:10	#3268:2498
#2940:1	#3267:3158
#2959:5	#3401:34
